NUMDIST;NOM DU PDV;LOCALISATION;VILLE;LATITUDE;LONGITUDE
43373;VISION SAT  ABOBO SOTRAPIM;ABOBO SOTRAPIM MOSQUEE BLEU;ABIDJAN / ABOBO;5,445622;-4,065548
43374;VISION SAT EBEC SERVICE;ABOBO COCO SERVICE EN FACE DE LA STATION OILIBYA;ABIDJAN / ABOBO;5,399854;-4,012182
43375;VISION SAT ALPHA CETO CORP;DOKUI OLYMPIQUE,CARREFOUR VIDANGE LOT 955 ILOT102;ABIDJAN / ABOBO;5,392054;-4,010735
43378;VISION SAT NDIAMOI BIABOU;ABOBO BIABOU ROUTE ALEPE EN FACE DE L'EGLISE CATHOLIQUE;ABIDJAN / ABOBO;5,443881;-3,980133
43382;VISION SAT LES GRACES ABOBO BA;ABOBO BAOULE CARREFOUR DIAMANT;ABIDJAN / ABOBO;5,420646;-3,991202
43383;VISION SAT LOGICAK ALEPE;ALEPE VILLAGE AU MARCHE;ALEPE;5,50083;-3,665017
43384;VISION SAT PLAQUE ARABE;ANYAMA PLAQUE ARABE;ANYAMA;5,489522;-4,051813
48378;VISION SAT DAO MARCHE DE NUIT;ABOBO MARCHE DE NUIT A 50M DE LA PATISSERIE LE FESTIVAL DES;ABIDJAN / ABOBO;5,437047;-4,029458
48379;VISION SAT VAD ABOBO DEPOT;ABOBO ROUTE ANYAMA A 100M DE LA STATION SHELL DEPOT SOTRA;ABIDJAN / ABOBO;5,381201;-4,022898
48380;VISION SAT VAD ABOBO KENNEDY;ABOBO KENNEDY A 100M DE LA STATION SHELL;ABIDJAN / ABOBO;5,421416;-4,009698
34308;VISION SAT ANYAMA-ADJAME;ANYAMA VILLAGE ANYAMA-ADJAME NON LOIN DU MAQUIS TAPIS ROUGE;ANYAMA;5,490994;-4,033823
34309;VISION SAT ABOBO FILTISAC;ABOBO FILTISAC PRES DU GARAGE CISSE;ABIDJAN / ABOBO;5,376656;-4,028723
34310;VISION SAT AZAGUIE;AZAGUIE NON LOIN DE LA GRANDE MOSQUEE;AZAGUIE;5,630533;-4,084176
34311;VISION SAT EDEN CENTER AZAGUIE;AZAGUIE NON LOIN DES EAUX ET FORETS;AZAGUIE;5,644366;-4,072937
34359;VISION SAT JC SERVICES ;BROFODOUME ,ANYAMA ROUTE ALEPE;ANYAMA;5,513387;-3,931847
34369;VISION SAT OUATTARA ABOUBAKAR AZAGUIE;AZAGUIE GARE ROND POINT;AZAGUIE;5,636083;-4,083391
34373;VISION SAT DJE SERVICE AZAGUIE;AZAGUIE GARE;AZAGUIE;5,634412;-4,084628
